EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,TextMessageOptInMissingFlag,TextMessageOptIn_bool,TextMessageOptIn_filled,DevHoursMissingFlag,AnnualProfessionalDevHrs_imputed_median,NumCompaniesMissingFlag,AnnualSalaryCorrected,DrivingCommuterDistanceImputedFlag,DrivingCommuterDistanceOutlierFlag
11,30,3,Yes,29.54,40.0,Salary,61443.2,15.0,Laboratory,Female,Divorced,3,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
12,34,8,Yes,29.54,40.0,Salary,61443.2,15.0,Laboratory,Female,Divorced,1,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
13,38,4,Yes,85.24,40.0,Salary,177299.2,2.0,Research,Male,Single,6,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,0,0,0
14,47,16,Yes,85.24,40.0,Salary,177299.2,2.0,Research,Male,Single,5,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
15,30,2,Yes,30.42,40.0,Salary,63273.6,36.0,Information Technology,Female,Married,2,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
16,38,1,No,30.42,40.0,Salary,63273.6,36.0,Information Technology,Female,Married,3,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
17,55,20,Yes,88.5,40.0,Salary,184080.0,60.0,Information Technology,Prefer Not to Answer,Married,7,9.0,Mailed Check,Yes,0,1.0,Yes,0,9.0,0,1,0,0
18,59,16,Yes,88.5,40.0,Salary,184080.0,60.0,Information Technology,Prefer Not to Answer,Married,5,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
19,29,1,Yes,24.3,40.0,Salary,50544.0,2.0,Sales,Female,Married,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
20,35,10,No,24.3,40.0,Salary,50544.0,2.0,Sales,Female,Married,5,15.0,Mailed Check,Yes,0,1.0,Yes,0,15.0,0,0,0,0
21,30,6,No,26.28,40.0,Salary,54662.4,14.0,Research,Female,Married,3,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
22,37,7,Yes,26.28,40.0,Salary,54662.4,14.0,Research,Female,Married,5,15.0,Direct Deposit,Yes,0,1.0,Yes,0,15.0,0,0,0,0
23,44,9,No,87.22,40.0,Salary,181417.6,75.0,Manufacturing,Female,Divorced,2,16.0,Mailed Check,Yes,0,1.0,Yes,0,16.0,0,1,0,0
24,54,15,No,87.22,40.0,Salary,181417.6,75.0,Manufacturing,Female,Divorced,7,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,1,0,0
25,36,3,Yes,87.2,40.0,Salary,181376.0,5.0,Research,Female,Married,1,10.0,Direct Deposit,Yes,0,1.0,Yes,0,10.0,0,1,0,0
26,40,8,No,87.2,40.0,Salary,181376.0,5.0,Research,Female,Married,4,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,1,0,0
27,32,6,No,31.02,40.0,Salary,64521.6,250.0,Research,Female,Married,1,18.0,Mailed Check,Yes,0,1.0,Yes,0,18.0,0,0,0,1
28,32,5,No,31.02,40.0,Salary,64521.6,250.0,Research,Female,Married,2,11.0,Mailed Check,Yes,0,1.0,Yes,0,11.0,0,0,0,1
29,41,7,No,89.4,40.0,Salary,185952.0,28.0,Healthcare,Prefer Not to Answer,Single,6,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,1,0,0
30,44,18,Yes,89.4,40.0,Salary,185952.0,28.0,Healthcare,Prefer Not to Answer,Single,6,25.0,Mailed Check,Unknown,1,,Missing,0,25.0,0,1,0,0
31,30,1,No,24.5,40.0,Salary,50960.0,49.0,Human Resources,Female,Divorced,3,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,1,0
32,34,2,No,24.5,40.0,Salary,50960.0,49.0,Human Resources,Female,Divorced,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,1,0
33,38,8,No,88.78,40.0,Salary,184662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,1,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,1,0,0
34,56,8,No,88.78,40.0,Salary,184662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,3,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,1,0,0
35,28,4,No,25.14,40.0,Salary,52291.2,250.0,Laboratory,Female,Married,2,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,1
36,35,6,Yes,25.14,40.0,Salary,52291.2,250.0,Laboratory,Female,Married,6,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,1
37,37,5,Yes,85.44,40.0,Salary,177715.2,33.0,Sales,Female,Single,6,12.0,Mailed Check,Unknown,1,,Missing,0,12.0,0,0,0,0
38,44,10,No,85.44,40.0,Salary,177715.2,33.0,Sales,Female,Single,7,19.0,Mailed Check,Yes,0,1.0,Yes,0,19.0,0,0,0,0
39,36,7,No,29.21,40.0,Salary,60756.8,79.0,Laboratory,Female,Divorced,2,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
40,37,9,No,29.21,40.0,Salary,60756.8,79.0,Laboratory,Female,Divorced,4,22.0,Direct Deposit,Yes,0,1.0,Yes,0,22.0,0,0,0,0
41,30,1,No,23.86,40.0,Salary,49628.8,50.0,Marketing,Female,Single,1,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
42,30,8,Yes,23.86,40.0,Salary,49628.8,50.0,Marketing,Female,Single,2,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
43,21,1,Yes,22.24,40.0,Salary,46259.2,13.0,Research,Female,Single,3,12.0,Direct Deposit,Yes,0,1.0,Yes,0,12.0,0,1,0,0
44,23,1,Yes,22.24,40.0,Salary,46259.2,13.0,Research,Female,Married,2,11.0,Direct Deposit,Yes,0,1.0,Yes,0,11.0,0,1,0,0
45,36,8,No,84.7,40.0,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,6,9.0,Mailed Check,Yes,0,1.0,Yes,0,9.0,0,0,0,0
46,45,20,No,84.7,40.0,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,4,9.0,Mailed Check,Yes,0,1.0,Yes,0,9.0,1,0,0,0
47,36,1,Yes,26.48,40.0,Salary,55078.4,57.0,Sales,Female,Divorced,6,24.0,Direct Deposit,Yes,0,1.0,Yes,0,24.0,0,0,0,0
48,38,3,Yes,26.48,40.0,Salary,55078.4,57.0,Sales,Female,Divorced,1,10.0,Direct Deposit,Yes,0,1.0,Yes,0,10.0,0,0,0,0
49,36,2,Yes,28.3,40.0,Salary,58864.0,82.0,Sales,Female,Married,2,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
50,40,8,No,28.3,40.0,Salary,58864.0,82.0,Sales,Female,Married,5,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,0,0,0,0
51,27,3,Yes,22.72,40.0,Salary,47257.6,4.0,Information Technology,Male,Single,2,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
52,32,3,Yes,22.72,40.0,Salary,47257.6,4.0,Information Technology,Male,Single,3,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,0,0,0,0
53,44,18,No,87.0,40.0,Salary,180960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,7,13.0,Mailed Check,Yes,0,1.0,Yes,0,13.0,0,1,0,0
54,47,9,No,87.0,40.0,Salary,180960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
55,44,16,No,31.3,40.0,Salary,65104.0,49.0,Marketing,Male,Divorced,8,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,1,1,0
56,50,8,No,31.3,40.0,Salary,65104.0,49.0,Marketing,Male,Divorced,5,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,1,1,0
57,31,9,No,26.33,40.0,Salary,54766.4,60.0,Healthcare,Male,Single,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
58,33,5,Yes,26.33,40.0,Salary,54766.4,60.0,Healthcare,Male,Single,3,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
59,46,16,Yes,89.35,40.0,Salary,185848.0,64.0,Healthcare,Prefer Not to Answer,Single,2,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,1,0,0
60,48,17,Yes,89.35,40.0,Salary,185848.0,64.0,Healthcare,Prefer Not to Answer,Single,1,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,1,0,0
61,37,8,Yes,28.66,40.0,Salary,59612.8,33.0,Marketing,Female,Single,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
62,39,4,Yes,28.66,40.0,Salary,59612.8,33.0,Marketing,Female,Single,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
63,33,5,No,26.14,40.0,Salary,54371.2,36.0,Manufacturing,Female,Divorced,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
64,39,1,No,26.14,40.0,Salary,54371.2,36.0,Manufacturing,Female,Divorced,2,11.0,Mailed Check,Yes,0,1.0,Yes,0,11.0,0,0,0,0
65,30,3,Yes,29.49,40.0,Salary,61339.2,49.0,Marketing,Female,Married,1,19.0,Mailed Check,Yes,0,1.0,Yes,0,19.0,0,1,1,0
66,32,5,Yes,29.49,40.0,Salary,61339.2,49.0,Marketing,Female,Married,3,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,1,1,0
67,30,8,No,24.74,40.0,Salary,51459.2,77.0,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
68,32,4,No,24.74,40.0,Salary,51459.2,77.0,Sales,Male,Divorced,2,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
69,40,4,Yes,85.33,40.0,Salary,177486.4,1.0,Sales,Prefer Not to Answer,Single,9,19.0,Mailed Check,Unknown,1,,Missing,0,19.0,0,0,0,0
70,45,16,Yes,85.33,40.0,Salary,177486.4,1.0,Sales,Prefer Not to Answer,Single,5,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
71,48,7,No,85.22,40.0,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,8,6.0,Mailed Check,Unknown,1,,Missing,0,6.0,0,0,0,0
72,57,5,No,85.22,40.0,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,5,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
73,28,6,No,22.8,40.0,Salary,47424.0,24.0,Research,Female,Divorced,2,19.0,Mailed Check,Yes,0,1.0,Yes,0,19.0,0,0,0,0
74,28,1,Yes,22.8,40.0,Salary,47424.0,24.0,Research,Female,Divorced,3,18.0,Mailed Check,Yes,0,1.0,Yes,0,18.0,0,0,0,0
75,34,6,No,28.2,40.0,Salary,58656.0,12.0,Sales,Male,Single,4,17.0,Direct Deposit,Yes,0,1.0,Yes,0,17.0,0,0,0,0
76,40,4,No,28.2,40.0,Salary,58656.0,12.0,Sales,Male,Single,5,20.0,Direct Deposit,Yes,0,1.0,Yes,0,20.0,0,0,0,0
77,30,7,No,28.1,40.0,Salary,58448.0,2.0,Sales,Male,Single,1,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
78,40,3,Yes,28.1,40.0,Salary,58448.0,2.0,Sales,Male,Single,1,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,0,0,0
79,34,9,No,26.59,40.0,Salary,55307.2,67.0,Information Technology,Female,Divorced,2,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,0,0,0
80,37,3,No,26.59,40.0,Salary,55307.2,67.0,Information Technology,Female,Divorced,3,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
81,52,6,No,89.31,40.0,Salary,185764.8,41.0,Research,Male,Married,7,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
82,53,9,Yes,89.31,40.0,Salary,185764.8,41.0,Research,Male,Married,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
83,50,10,No,88.27,40.0,Salary,183601.6,60.0,Research,Male,Married,3,12.0,Direct Deposit,Yes,0,1.0,Yes,0,12.0,0,1,0,0
84,54,17,No,88.27,40.0,Salary,183601.6,60.0,Research,Male,Married,6,16.0,Direct Deposit,Yes,0,1.0,Yes,0,16.0,0,1,0,0
85,53,18,Yes,31.39,40.0,Salary,65291.2,62.0,Information Technology,Female,Divorced,2,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
86,57,14,Yes,31.39,40.0,Salary,65291.2,62.0,Information Technology,Female,Divorced,9,18.0,Mailed Check,Yes,0,1.0,Yes,0,18.0,0,0,0,0
87,39,7,Yes,31.39,40.0,Salary,65291.2,47.0,Information Technology,Female,Divorced,4,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
88,55,10,Yes,31.39,40.0,Salary,65291.2,47.0,Information Technology,Female,Divorced,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
89,31,9,No,28.73,40.0,Salary,59758.4,28.0,Laboratory,Female,Married,1,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
90,40,1,No,28.73,40.0,Salary,59758.4,28.0,Laboratory,Female,Married,6,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,0,0
91,36,9,No,28.73,40.0,Salary,59758.4,49.0,Laboratory,Female,Married,3,11.0,Mailed Check,Yes,0,1.0,Yes,0,11.0,0,0,1,0
92,39,4,No,28.73,40.0,Salary,59758.4,49.0,Laboratory,Female,Married,6,18.0,Mailed Check,Yes,0,1.0,Yes,0,18.0,0,0,1,0
93,44,8,Yes,48.45,40.0,Salary,100776.0,76.0,Marketing,Female,Married,5,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
94,59,6,Yes,48.45,40.0,Salary,100776.0,76.0,Marketing,Female,Married,7,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
95,48,13,Yes,85.4,40.0,Salary,177632.0,31.0,Research,Male,Single,7,5.0,Mailed Check,Unknown,1,,Missing,0,5.0,0,0,0,0
96,54,17,No,85.4,40.0,Salary,177632.0,31.0,Research,Male,Single,2,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
97,44,6,No,71.9,40.0,Salary,149552.0,32.0,Marketing,Male,Married,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
98,58,19,No,71.9,40.0,Salary,149552.0,32.0,Marketing,Male,Married,5,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
99,48,17,Yes,71.33,40.0,Salary,148366.4,50.0,Sales,Prefer Not to Answer,Married,8,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,1,0,0
100,57,17,No,71.33,40.0,Salary,148366.4,50.0,Sales,Prefer Not to Answer,Married,9,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,1,0,0
101,49,7,No,65.62,40.0,Salary,136489.6,15.0,Research,Male,Divorced,6,17.0,Direct Deposit,Yes,0,1.0,Yes,0,17.0,0,0,0,0
102,52,17,Yes,65.62,40.0,Salary,136489.6,15.0,Research,Male,Divorced,1,6.0,Direct Deposit,Yes,0,1.0,Yes,0,6.0,0,0,0,0
103,37,10,Yes,56.11,40.0,Salary,116708.8,33.0,Healthcare,Male,Divorced,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
104,49,7,Yes,56.11,40.0,Salary,116708.8,33.0,Healthcare,Male,Divorced,1,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,0,0,0
105,44,14,No,80.12,40.0,Salary,166649.6,56.0,Human Resources,Male,Married,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
106,59,13,Yes,80.12,40.0,Salary,166649.6,56.0,Human Resources,Male,Married,9,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
107,34,4,No,25.71,40.0,Salary,53476.8,32.0,Marketing,Male,Single,3,17.0,Direct Deposit,Yes,0,1.0,Yes,0,17.0,0,0,0,0
108,34,1,No,25.71,40.0,Salary,53476.8,32.0,Marketing,Male,Single,5,5.0,Direct Deposit,Yes,0,1.0,Yes,0,5.0,0,0,0,0
109,41,6,Yes,97.05,40.0,Salary,201864.0,22.0,Research,Female,Divorced,3,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,1,0,0
110,42,3,No,97.05,40.0,Salary,201864.0,22.0,Research,Female,Divorced,5,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,1,0,0
111,33,4,Yes,25.17,40.0,Salary,52353.6,51.0,Information Technology,Male,Single,6,14.0,Direct Deposit,Yes,0,1.0,Yes,0,14.0,0,0,0,0
112,35,7,Yes,25.17,40.0,Salary,52353.6,51.0,Information Technology,Male,Single,6,25.0,Direct Deposit,Yes,0,1.0,Yes,0,25.0,0,0,0,0
113,39,8,Yes,81.64,40.0,Salary,169811.2,60.0,Marketing,Male,Divorced,2,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
114,58,7,No,81.64,40.0,Salary,169811.2,60.0,Marketing,Male,Divorced,2,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
115,44,12,Yes,40.53,40.0,Salary,84302.4,58.0,Sales,Female,Married,9,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
116,60,10,No,40.53,40.0,Salary,84302.4,58.0,Sales,Female,Married,9,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
117,31,3,No,23.42,40.0,Salary,48713.6,49.0,Research,Female,Divorced,2,6.0,Direct Deposit,Unknown,1,,Missing,0,6.0,0,0,1,0
118,35,4,Yes,23.42,40.0,Salary,48713.6,49.0,Research,Female,Divorced,4,15.0,Direct Deposit,Yes,0,1.0,Yes,0,15.0,0,0,1,0
119,37,3,No,65.52,40.0,Salary,136281.6,36.0,Healthcare,Female,Married,2,11.0,Mailed Check,Yes,0,1.0,Yes,0,11.0,0,0,0,0
120,48,19,Yes,65.52,40.0,Salary,136281.6,36.0,Healthcare,Female,Married,7,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
121,33,3,Yes,28.09,40.0,Salary,58427.2,34.0,Sales,Female,Single,1,13.0,Mailed Check,Yes,0,1.0,Yes,0,13.0,0,0,0,0
122,34,1,Yes,28.09,40.0,Salary,58427.2,34.0,Sales,Female,Single,4,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,0,0,0
123,35,6,Yes,26.84,40.0,Salary,55827.2,60.0,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
124,38,3,No,26.84,40.0,Salary,55827.2,60.0,Sales,Male,Divorced,2,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
125,36,10,Yes,34.87,40.0,Salary,72529.6,1.0,Research,Female,Single,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
126,48,13,Yes,34.87,40.0,Salary,72529.6,1.0,Research,Female,Single,4,13.0,Mailed Check,Yes,0,1.0,Yes,0,13.0,0,0,0,0
127,38,5,Yes,83.05,40.0,Salary,172744.0,37.0,Marketing,Female,Single,1,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
128,42,8,No,83.05,40.0,Salary,172744.0,37.0,Marketing,Female,Single,6,12.0,Mailed Check,Unknown,1,,Missing,0,12.0,0,0,0,0
129,40,10,No,59.45,40.0,Salary,123656.0,42.0,Research,Female,Married,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
130,45,16,Yes,59.45,40.0,Salary,123656.0,42.0,Research,Female,Married,3,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,0,0,0,0
131,56,16,No,35.54,40.0,Salary,73923.2,16.0,Healthcare,Male,Married,7,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
132,56,18,No,35.54,40.0,Salary,73923.2,16.0,Healthcare,Male,Married,3,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
133,40,1,Yes,43.0,40.0,Salary,89440.0,26.0,Sales,Female,Divorced,2,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
134,44,10,Yes,43.0,40.0,Salary,89440.0,26.0,Sales,Female,Divorced,6,18.0,Direct Deposit,Yes,0,1.0,Yes,0,18.0,0,0,0,0
135,49,18,Yes,62.53,40.0,Salary,130062.4,77.0,Healthcare,Male,Single,5,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
136,58,20,Yes,62.53,40.0,Salary,130062.4,77.0,Healthcare,Male,Single,2,10.0,Direct Deposit,Unknown,1,,Missing,0,10.0,0,0,0,0
137,34,1,No,26.06,40.0,Salary,54204.8,35.0,Laboratory,Female,Married,5,8.0,Direct Deposit,Yes,0,1.0,Yes,0,8.0,0,0,0,0
138,39,9,No,26.06,40.0,Salary,54204.8,35.0,Laboratory,Female,Married,5,16.0,Direct Deposit,Unknown,1,,Missing,0,16.0,0,0,0,0
139,37,7,No,60.01,40.0,Salary,124820.8,34.0,Healthcare,Female,Married,5,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
140,60,11,No,60.01,40.0,Salary,124820.8,34.0,Healthcare,Female,Married,2,15.0,Mailed Check,Yes,0,1.0,Yes,0,15.0,0,0,0,0
141,39,9,No,50.74,40.0,Salary,105539.2,74.0,Manufacturing,Female,Married,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
142,54,11,Yes,50.74,40.0,Salary,105539.2,74.0,Manufacturing,Female,Married,9,15.0,Mailed Check,Yes,0,1.0,Yes,0,15.0,0,0,0,0
143,39,8,No,53.28,40.0,Salary,110822.4,62.0,Manufacturing,Male,Divorced,4,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,1,0,0
144,54,10,No,53.28,40.0,Salary,110822.4,62.0,Manufacturing,Male,Divorced,1,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,1,0,0
145,30,6,Yes,24.64,40.0,Salary,51251.2,49.0,Human Resources,Female,Divorced,2,22.0,Direct Deposit,Yes,0,1.0,Yes,0,22.0,0,0,1,0
146,30,1,No,24.64,40.0,Salary,51251.2,49.0,Human Resources,Female,Divorced,3,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,1,0
147,39,8,No,86.33,40.0,Salary,179566.4,49.0,Research,Female,Married,3,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,1,0
148,47,12,Yes,86.33,40.0,Salary,179566.4,49.0,Research,Female,Married,4,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,1,0
149,33,7,Yes,31.1,40.0,Salary,64688.0,84.0,Human Resources,Female,Single,1,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
150,37,7,No,31.1,40.0,Salary,64688.0,84.0,Human Resources,Female,Single,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
151,34,5,No,23.37,40.0,Salary,48609.6,60.0,Information Technology,Male,Divorced,2,18.0,Mailed Check,Unknown,1,,Missing,0,18.0,0,0,0,0
152,35,9,Yes,23.37,40.0,Salary,48609.6,60.0,Information Technology,Male,Divorced,5,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
153,50,7,No,60.42,40.0,Salary,125673.6,44.0,Information Technology,Male,Divorced,1,12.0,Direct Deposit,Yes,0,1.0,Yes,0,12.0,0,0,0,0
154,55,19,No,60.42,40.0,Salary,125673.6,44.0,Information Technology,Male,Divorced,8,24.0,Direct Deposit,Yes,0,1.0,Yes,0,24.0,0,0,0,0
155,36,2,Yes,28.04,40.0,Salary,58323.2,61.0,Manufacturing,Male,Married,2,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
156,38,7,Yes,28.04,40.0,Salary,58323.2,61.0,Manufacturing,Male,Married,6,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,0,0
157,43,3,No,59.17,40.0,Salary,123073.6,87.0,Sales,Female,Married,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
158,55,14,No,59.17,40.0,Salary,123073.6,87.0,Sales,Female,Married,8,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
159,31,3,No,25.41,40.0,Salary,52852.8,75.0,Marketing,Male,Single,2,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
160,32,5,Yes,25.41,40.0,Salary,52852.8,75.0,Marketing,Male,Single,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
